"MaternalVial","vial_letter","PaternalStock","Treatment","co_inds.sum","ycv_count.sum","cvv_count.sum","vf_count.sum","num_M.sum","ycv_rr","cvv_rr","vf_rr","recomb_rate","ycv_rr_kosambi","cvv_rr_kosambi","vf_rr_kosambi","recomb_rate_kosambi"
"9","D","217","1x",35,6,14,15,76,0.0789473684210526,0.184210526315789,0.197368421052632,0.460526315789474,7.96134327796337,19.329747205837,20.8699424405743,48.1610329243747
"11","A","42","0.5x",40,5,17,18,89,0.0561797752808989,0.191011235955056,0.202247191011236,0.449438202247191,5.64179994168922,20.1212792534987,21.4505455937545,47.2136247889424
"11","B","42","0.5x",12,3,5,4,33,0.0909090909090909,0.151515151515152,0.121212121212121,0.363636363636364,9.19311950313294,15.6426474941103,12.3674060459027,37.2031730431459
"11","C","42","0.5x",13,3,5,5,29,0.103448275862069,0.172413793103448,0.172413793103448,0.448275862068966,10.4963461390066,17.9780666740802,17.9780666740802,46.4524794871669
"11","D","42","0.5x",13,2,5,6,36,0.0555555555555556,0.138888888888889,0.166666666666667,0.361111111111111,5.57858878285525,14.2636214616903,17.3286795139986,37.1708897585442
"12","A","217","0.5x",76,7,22,47,213,0.0328638497652582,0.103286384976526,0.220657276995305,0.356807511737089,3.29112981892276,10.4794342493037,23.6931063618917,37.4636704301181
"12","B","217","0.5x",70,15,18,37,141,0.106382978723404,0.127659574468085,0.26241134751773,0.49645390070922,10.8033338797581,13.0547345604076,29.1486352184174,53.0067036585832
"12","C","217","0.5x",124,12,46,66,246,0.0487804878048781,0.186991869918699,0.268292682926829,0.504065040650406,4.89361442815238,19.6523323267347,29.9673936806273,54.5133404355144
"12","D","217","0.5x",89,13,31,45,169,0.0769230769230769,0.183431952662722,0.266272189349112,0.526627218934911,7.75387320759599,19.2397219014972,29.6845052308129,56.6781003399061
"13","A","217","2x",103,4,31,68,272,0.0147058823529412,0.113970588235294,0.25,0.378676470588235,1.47101250057333,11.6008365564808,27.4653072167027,40.5371562737569
