MaternalVial,vial_letter,PaternalStock,Treatment,fecundity.sum,num_offspring.sum,num_moms.sum,fecundity
62,D,217,1x,110.542857142857,880,41,21.4634146341463
65,A,217,0.5x,13.6666666666667,82,6,13.6666666666667
65,B,217,0.5x,9.5,57,6,9.5
65,C,217,0.5x,7.5,45,6,7.5
65,D,217,0.5x,20.6666666666667,124,6,20.6666666666667
66,A,217,2x,98.2011904761905,757,37,20.4594594594595
66,B,217,2x,56.8952380952381,379,37,10.2432432432432
66,C,217,2x,67.8821428571429,487,37,13.1621621621622
66,D,217,2x,114.811904761905,819,37,22.1351351351351
67,A,217,0.5x,34.0714285714286,261,15,17.4
67,B,217,0.5x,31.9821428571429,243,15,16.2
67,C,217,0.5x,25.6428571428571,192,15,12.8
67,D,217,0.5x,48.4107142857143,363,15,24.2
68,A,217,0.5x,20.1428571428571,141,7,20.1428571428571
68,B,217,0.5x,9,63,7,9
68,C,217,0.5x,12.5714285714286,88,7,12.5714285714286
68,D,217,0.5x,30.4285714285714,213,7,30.4285714285714
69,A,217,1x,42.6984126984127,336,16,21
69,B,217,1x,56.0634920634921,440,16,27.5
69,C,217,1x,54.5873015873016,441,16,27.5625
69,D,217,1x,55.7936507936508,429,16,26.8125
70,A,217,0.5x,41.8809523809524,279,20,13.95
70,B,217,0.5x,38.8095238095238,268,13,20.6153846153846
70,C,217,0.5x,84.9761904761905,583,20,29.15
70,D,217,0.5x,95.6428571428571,645,20,32.25
71,A,217,1x,82.2380952380952,519,19,27.3157894736842
71,B,217,1x,49.5238095238095,304,19,16
71,C,217,1x,63.1666666666667,396,19,20.8421052631579
71,D,217,1x,78.5238095238095,503,19,26.4736842105263
72,A,42,1x,32.7272727272727,314,20,15.7
72,B,42,1x,18.0808080808081,184,20,9.2
72,C,42,1x,13.3434343434343,125,20,6.25
72,D,42,1x,27.4141414141414,260,20,13
73,A,42,2x,40.1666666666667,241,19,12.6842105263158
73,B,42,2x,9.5,57,19,3
73,C,42,2x,30.3333333333333,182,19,9.57894736842105
73,D,42,2x,43.1666666666667,259,19,13.6315789473684
74,A,42,2x,22.1727272727273,239,21,11.3809523809524
74,B,42,2x,30.8363636363636,335,21,15.952380952381
74,C,42,2x,15.2818181818182,165,21,7.85714285714286
74,D,42,2x,14.0454545454545,152,21,7.23809523809524
75,A,42,1x,35.3095238095238,234,19,12.3157894736842
75,B,42,1x,7.19047619047619,50,19,2.63157894736842
75,C,42,1x,34.9523809523809,226,19,11.8947368421053
75,D,42,1x,30.2619047619048,202,19,10.6315789473684
76,A,42,0.5x,51.3571428571429,344,13,26.4615384615385
76,B,42,0.5x,60.9761904761905,409,13,31.4615384615385
76,C,42,0.5x,25.6904761904762,168,13,12.9230769230769
76,D,42,0.5x,21.5952380952381,151,13,11.6153846153846
77,A,42,1x,3.1,19,16,1.1875
77,B,42,1x,7.33333333333333,44,16,2.75
77,C,42,1x,5,30,16,1.875
77,D,42,1x,2,12,16,0.75
